route_signature,count,kept
north->east,148,1
east->north,146,1
east->south,94,1
south->east,84,1
interior->interior,93,0
east->interior,52,0
interior->east,52,0
west->interior,46,0
interior->west,44,0
north->interior,35,0
interior->north,35,0
north->north,32,0
south->interior,23,0
north->west,22,0
interior->south,18,0
east->east,17,0
west->north,11,0
corner_south_west->west,10,0
west->corner_south_west,10,0
west->corner_north_west,9,0
south->south,9,0
corner_north_west->north,5,0
west->south,5,0
corner_north_west->west,4,0
east->west,3,0
west->west,3,0
corner_east_south->corner_south_west,3,0
interior->corner_north_west,3,0
corner_north_west->interior,3,0
west->east,3,0
south->west,2,0
corner_east_south->east,2,0
corner_east_south->south,2,0
interior->corner_south_west,2,0
interior->corner_east_south,2,0
corner_south_west->south,1,0
corner_east_south->corner_east_south,1,0
north->corner_north_west,1,0
corner_south_west->interior,1,0
east->corner_east_south,1,0
north->south,1,0
