category,dataset,twostage_mean_sec,twostage_std_sec,drl_mean_sec,drl_std_sec,speedup_twostage_over_drl,speedup_drl_over_twostage,note,gap_percent
twostage_faster,delta_cog__ais_filtered_2021-01-01_dtw_matrix,0.0090279169380664,0.0,2.335532208904624,0.0,258.7011184226543,0.003865464541078,,25770.11184226567
twostage_faster,delta_cog__iter_00_dtw_matrix,0.0080372081138193,0.0,0.0167995421215891,0.0,2.0902211170448184,0.4784182840013657,,109.0221117044824
twostage_faster,delta_cog__ais_filtered_2021-02-18_dtw_matrix,0.0072666669730097,0.0,0.0138792500365525,0.0,1.9099884566203047,0.5235633736601135,,90.99884566202994
twostage_faster,delta_cog__ais_sample5_dtw_matrix,0.0074882500339299,0.0,0.0132477500010281,0.0,1.769138308817336,0.5652469312410612,,76.91383088173357
twostage_faster,delta_cog__ais_yuanli_cleaned_dtw_matrix,0.0086251669563353,0.0,0.0142395838629454,0.0,1.650934287421099,0.6057176276604479,,65.09342874210958
twostage_faster,delta_cog__ais_sample2_pruned_k3_10_dtw_matrix,0.0097943330183625,0.0,0.0147382088471204,0.0,1.5047690148465496,0.6645538219711257,,50.476901484655265
twostage_faster,delta_cog__final_dtw_matrix,0.0104710001032799,0.0,0.0148777079302817,0.0,1.4208487998793398,0.7038046554178891,,42.08487998793408
twostage_faster,delta_cog__ais_filtered_2021-01-11_dtw_matrix,0.0122617499437183,0.0,0.0166901668999344,0.0,1.3611570107482718,0.7346691029055258,,36.11570107482726
twostage_faster,delta_cog__ais_sample2_segments_v2_pruned_k3_10_dtw_matrix,0.0120038338936865,0.0,0.0148733330424875,0.0,1.2390485551712105,0.8070708737171491,,23.904855517121355
twostage_faster,delta_cog__ais_yuanli_dtw_matrix,0.0148332498501986,0.0,0.0183352089952677,0.0,1.2360884620993713,0.8090035872526479,,23.608846209937013
twostage_faster,delta_cog__pruned_dataset_dtw_matrix,0.0136248748749494,0.0,0.0151507921982556,0.0,1.1119949604903705,0.8992846510374629,,11.199496049037046
twostage_faster,delta_cog__ais_sample2_segments_v2_dtw_matrix,0.0138986660167574,0.0,0.0154383750632405,0.0,1.11078106665968,0.9002674154387429,,11.078106665968503
twostage_faster,delta_cog__ais_filtered_2021-02-24_bbox_lat45_47.5_lon-130_-120_dtw_matrix,0.0162364579737186,0.0,0.0166960000060498,0.0,1.0283030962217912,0.9724759204501252,,2.8303096221789383
twostage_faster,delta_cog__clean_ais_filtered_dtw_matrix,0.015805082861334,0.0,0.0159788329619914,0.0,1.0109933052665234,0.9891262333694432,,1.0993305266527265
