dataset,method,target_k,K,eps,minPts,noise_ratio,DBI_prime,CP_prime,SP_prime,silhouette_score
k=3_dataset,K-Means,3,3,nan,nan,0.0000,1.2368,0.8661,1.5594,0.5282
k=3_dataset,Agglomerative,3,3,nan,nan,0.0000,0.6181,0.8877,2.3609,0.6259
k=3_dataset,Spectral,3,3,nan,nan,0.0000,1.2622,0.9479,1.8971,-0.5045
k=3(3)_dataset,K-Means,3,3,nan,nan,0.0000,1.3432,1.2161,1.4987,0.3343
k=3(3)_dataset,Agglomerative,3,3,nan,nan,0.0000,0.5393,1.8288,3.2492,0.4118
k=3(3)_dataset,Spectral,3,3,nan,nan,0.0000,1.4382,1.2834,1.8983,-0.4100
k=7_dataset,K-Means,7,7,nan,nan,0.0000,1.3002,0.8009,1.1152,0.3162
k=7_dataset,Agglomerative,7,7,nan,nan,0.0000,1.0780,0.8707,1.2510,0.2934
k=7_dataset,Spectral,7,7,nan,nan,0.0000,1.2649,0.8555,1.1998,-0.5758
k=8_dataset,K-Means,8,8,nan,nan,0.0000,1.3085,1.1677,1.5807,0.3113
k=8_dataset,Agglomerative,8,8,nan,nan,0.0000,1.0948,1.2088,1.7358,0.3084
k=8_dataset,Spectral,8,8,nan,nan,0.0000,1.3645,1.2640,1.8452,-0.5354
