track_id,label
900000001,1
900000002,0
900000003,1
900000004,0
900000005,0
900000006,1
900000007,0
900000008,0
900000009,0
900000010,0
900000011,0
900000012,1
900000013,1
900000014,2
900000015,2
900000016,0
900000017,1
900000018,0
900000019,0
900000020,0
900000021,0
900000023,0
900000024,0
900000025,0
900000026,0
900000027,1
900000028,1
900000029,2
900000030,1
900000031,0
900000032,0
900000033,3
900000034,0
900000035,0
900000036,0
900000037,0
900000038,1
900000039,0
900000040,0
900000042,1
900000043,0
900000044,0
900000045,0
900000046,1
900000047,0
900000048,0
900000049,0
900000050,2
900000051,0
900000052,0
900000053,0
900000054,0
900000055,0
900000057,3
900000058,0
900000059,1
900000060,1
900000061,0
900000062,1
900000063,1
900000064,0
900000065,0
900000066,0
900000067,0
900000068,0
900000069,0
900000070,1
900000071,1
900000072,1
900000073,1
900000074,1
900000075,1
900000076,0
900000077,0
900000078,0
900000079,0
900000081,1
900000082,1
900000083,0
900000084,0
900000085,0
900000086,0
900000087,0
900000088,0
900000089,0
900000090,0
900000091,1
900000092,0
900000093,0
900000094,0
900000095,1
900000096,0
900000097,1
900000098,1
900000099,0
900000100,1
900000101,0
900000102,0
900000103,0
900000104,1
900000105,0
900000106,0
900000107,0
900000108,0
900000109,0
900000110,0
900000111,0
900000112,0
900000113,0
900000114,0
900000115,0
900000116,0
900000117,0
900000118,0
900000119,0
900000120,0
900000121,0
900000122,0
900000123,0
900000124,0
900000125,0
900000126,0
900000127,0
900000128,0
900000129,1
900000130,0
900000131,0
900000132,0
900000133,0
900000135,0
900000136,1
900000137,1
900000139,0
900000140,0
900000141,0
900000142,1
900000143,1
900000144,1
900000145,0
900000146,0
900000147,1
900000148,0
900000149,0
900000150,1
900000151,0
900000152,0
900000153,0
900000154,0
900000155,0
900000156,1
900000157,0
900000158,0
900000159,1
900000160,1
900000161,0
900000163,1
900000165,0
900000166,0
900000167,1
900000169,1
900000170,1
900000171,1
900000172,0
900000173,0
900000175,0
900000176,1
900000177,0
900000178,0
900000180,1
900000181,0
900000182,0
900000183,1
900000184,0
900000186,1
900000187,1
900000188,0
900000189,0
900000190,0
900000191,0
900000194,0
900000195,0
900000196,0
900000197,0
900000198,1
900000199,1
900000200,0
900000201,1
900000202,0
900000203,0
900000204,0
900000205,1
900000206,3
900000207,0
900000208,0
900000209,1
900000210,0
900000211,1
900000212,1
900000213,0
900000214,0
900000216,0
900000217,0
900000218,0
900000220,0
900000221,1
900000222,0
900000223,0
900000224,1
900000225,0
900000226,0
900000227,1
900000228,1
900000229,0
900000230,1
900000231,3
900000232,0
900000250,0
900000257,0
900000258,0
900000259,1
900000260,0
900000261,0
900000263,0
900000265,0
900000266,0
900000267,0
900000268,1
900000270,0
900000271,0
900000272,0
900000274,1
900000275,0
900000276,0
900000277,1
900000278,0
900000279,1
900000280,0
900000282,0
900000283,0
900000284,0
900000285,0
900000286,0
900000287,0
900000290,0
900000291,0
900000292,3
900000294,0
900000295,0
900000297,1
900000299,1
900000300,0
