iteration,track_id,track_index,final_score,bridge_score,mean_dist,knn_dist,component_id
1,900000115,92,1.5913012719864035,0.0,3.9654933042257214,2.5902339432430046,1
1,900000048,37,1.1567556763411935,0.0,4.082264469370019,2.120731147865561,0
1,900000092,77,0.9538815364483189,0.0,3.490694775400929,1.9015367140845145,0
1,900000002,1,0.8280773731290835,0.0,3.1301465552990084,1.7656121829411218,0
1,900000059,46,0.634434000640748,0.0,3.217054353601266,1.5563910894570248,0
1,900000053,40,0.6260737050394045,0.0,2.873151004662896,1.5473582464266302,0
2,900000062,45,1.3428413895493563,0.0,3.872903287944027,2.3254566265168153,0
2,900000060,43,0.9103165138035544,0.0,3.4397362354929344,1.898172398400147,0
2,900000043,31,0.8179870804474328,0.0,2.790253982418364,1.8069616660786947,0
2,900000096,74,0.6946516131981779,0.0,2.669396727075411,1.6851205816043342,0
2,900000041,30,0.6565492911672837,0.0,3.029390591841548,1.6474799228321633,0
2,900000061,44,0.6397343400771992,0.0,2.717271596773113,1.6308687085408289,0
3,900000057,39,0.9585010027244877,0.0,3.240655586627393,1.8576677790887635,0
3,900000090,66,0.8758282092427132,0.0,2.722455209914867,1.7870713330929395,0
3,900000074,52,0.8139281005908847,0.0,3.335012336714533,1.7342132222981494,0
3,900000093,68,0.7330562284814459,0.0,2.7390228545776334,1.6651546298457993,0
3,900000023,15,0.7166181679808779,0.0,2.9721704183945006,1.6511177429628097,0
4,900000005,1,0.9573846807841754,0.0,3.0273121665254976,1.807936891612953,0
4,900000066,42,0.8279596553632191,0.0,2.937283817492605,1.707142326744295,0
4,900000079,54,0.7751406518168833,0.0,2.772523170744126,1.6660075580862779,0
4,900000082,57,0.7392543824978304,0.0,3.002925408979199,1.6380597876376446,0
4,900000069,45,0.7324359517953596,0.0,2.9576698465711004,1.6327496804655013,0
5,900000020,11,1.715470750215488,0.0,2.730703012433575,1.6802586336505343,0
5,900000077,49,1.5575013071457857,0.0,2.6354337079579215,1.6245558887450322,0
5,900000021,12,1.537499392702995,0.0,2.4094038846692913,1.6175028694004185,0
5,900000067,41,1.5225813008075362,0.0,2.9008898620496333,1.6122424933986945,0
5,900000050,33,1.3619213549973146,0.0,2.4590296150930233,1.5555910309126881,0
